right_db,left_db,RT,choice
16.0,24.0,0.224609375,-1.0
19.5,20.5,0.0478515625,-1.0
21.0,19.0,0.603515625,-1.0
18.0,22.0,0.9853515625,-1.0
19.5,20.5,0.7177734375,1.0
19.0,21.0,0.2138671875,1.0
24.0,16.0,0.1240234375,1.0
22.0,18.0,0.794921875,1.0
28.0,12.0,0.1494140625,1.0
19.0,21.0,0.505859375,-1.0
12.0,28.0,0.21484375,-1.0
19.0,21.0,0.013671875,-1.0
21.0,19.0,0.359375,1.0
24.0,16.0,0.1396484375,1.0
19.0,21.0,0.3271484375,1.0
21.0,19.0,0.1298828125,-1.0
24.0,16.0,0.140625,1.0
22.0,18.0,0.5078125,-1.0
28.0,12.0,0.279296875,1.0
12.0,28.0,0.1396484375,-1.0
18.0,22.0,0.271484375,-1.0
24.0,16.0,0.27734375,1.0
28.0,12.0,0.3017578125,1.0
18.0,22.0,0.208984375,-1.0
12.0,28.0,0.1357421875,-1.0
22.0,18.0,0.30859375,1.0
24.0,16.0,0.1455078125,1.0
18.0,22.0,0.17578125,-1.0
16.0,24.0,0.1103515625,-1.0
12.0,28.0,0.08984375,-1.0
22.0,18.0,0.0546875,-1.0
21.0,19.0,0.0390625,1.0
24.0,16.0,0.1298828125,1.0
20.5,19.5,0.0419921875,-1.0
21.0,19.0,0.17578125,-1.0
22.0,18.0,0.205078125,1.0
19.0,21.0,0.4853515625,1.0
20.5,19.5,0.40625,-1.0
18.0,22.0,0.34375,-1.0
28.0,12.0,0.1904296875,1.0
19.0,21.0,0.49609375,-1.0
28.0,12.0,0.259765625,1.0
18.0,22.0,0.1728515625,-1.0
20.5,19.5,0.1533203125,-1.0
24.0,16.0,0.12109375,1.0
19.5,20.5,0.283203125,1.0
19.0,21.0,0.2646484375,-1.0
21.0,19.0,0.2060546875,-1.0
19.0,21.0,0.126953125,1.0
20.5,19.5,0.2705078125,1.0
21.0,19.0,0.1591796875,1.0
22.0,18.0,0.1884765625,1.0
24.0,16.0,0.28515625,1.0
12.0,28.0,0.3271484375,-1.0
21.0,19.0,0.0390625,-1.0
24.0,16.0,0.3818359375,-1.0
19.5,20.5,0.2490234375,-1.0
28.0,12.0,0.103515625,1.0
21.0,19.0,0.3076171875,-1.0
22.0,18.0,0.2724609375,-1.0
12.0,28.0,0.341796875,-1.0
22.0,18.0,0.16015625,1.0
20.5,19.5,0.7841796875,-1.0
12.0,28.0,0.14453125,-1.0
16.0,24.0,0.3173828125,-1.0
20.5,19.5,0.578125,-1.0
18.0,22.0,0.26171875,-1.0
19.0,21.0,0.5595703125,1.0
24.0,16.0,0.2939453125,-1.0
19.0,21.0,0.20703125,-1.0
24.0,16.0,0.3681640625,1.0
22.0,18.0,0.5205078125,-1.0
19.5,20.5,0.541015625,-1.0
19.0,21.0,0.3232421875,-1.0
18.0,22.0,0.3974609375,-1.0
12.0,28.0,0.1298828125,-1.0
20.5,19.5,0.21875,-1.0
24.0,16.0,0.1474609375,1.0
21.0,19.0,0.24609375,1.0
19.0,21.0,0.4443359375,-1.0
19.5,20.5,0.412109375,-1.0
12.0,28.0,0.0859375,-1.0
16.0,24.0,0.1416015625,-1.0
19.5,20.5,0.1494140625,-1.0
21.0,19.0,0.1650390625,1.0
22.0,18.0,0.31640625,1.0
16.0,24.0,0.2763671875,-1.0
19.5,20.5,0.1435546875,1.0
18.0,22.0,0.1474609375,-1.0
21.0,19.0,0.328125,1.0
18.0,22.0,0.2822265625,-1.0
24.0,16.0,0.2451171875,1.0
22.0,18.0,0.2109375,1.0
12.0,28.0,0.16796875,-1.0
20.5,19.5,0.265625,1.0
18.0,22.0,0.30859375,-1.0
19.0,21.0,0.3544921875,-1.0
22.0,18.0,0.2060546875,1.0
20.5,19.5,0.2451171875,1.0
16.0,24.0,0.2529296875,-1.0
22.0,18.0,0.0732421875,-1.0
18.0,22.0,0.197265625,-1.0
20.5,19.5,0.2158203125,-1.0
21.0,19.0,0.3916015625,1.0
24.0,16.0,0.13671875,1.0
16.0,24.0,0.41015625,-1.0
19.5,20.5,0.208984375,1.0
19.0,21.0,0.9775390625,-1.0
